temperatura,data
30.250000,1441382455.241193
30.250000,1441382457.018515
30.250000,1441382458.795876
30.312000,1441382460.573224
30.250000,1441382462.352522
30.312000,1441382464.133765
30.250000,1441382465.911125
30.312000,1441382467.688660
30.312000,1441382469.465790
30.312000,1441382471.243758
30.312000,1441382473.020486
30.312000,1441382474.797845
30.312000,1441382476.575154
30.312000,1441382478.352439
30.312000,1441382480.129836
30.312000,1441382481.907262
30.312000,1441382483.684516
30.312000,1441382485.461877
30.312000,1441382487.239213
30.312000,1441382489.016591
30.312000,1441382490.793900
30.312000,1441382492.571259
30.312000,1441382494.348699
30.312000,1441382496.128005
30.312000,1441382497.905218
30.312000,1441382499.682601
30.312000,1441382501.459950
30.312000,1441382503.237269
30.312000,1441382505.014624
30.375000,1441382506.792908
30.375000,1441382508.569309
30.312000,1441382510.346644
30.375000,1441382512.124011
30.375000,1441382513.901607
30.375000,1441382515.678652
30.375000,1441382517.456033
30.375000,1441382519.236650
30.375000,1441382521.018517
30.375000,1441382522.795873
30.375000,1441382524.573194
30.375000,1441382526.350539
30.375000,1441382528.128572
30.312000,1441382529.905232
30.312000,1441382531.682563
30.375000,1441382533.459967
30.375000,1441382535.237266
30.312000,1441382537.018042
30.312000,1441382538.795890
30.312000,1441382540.573233
30.312000,1441382542.352528
30.312000,1441382544.129867
30.312000,1441382545.907203
30.250000,1441382548.450179
30.312000,1441382550.227520
30.312000,1441382552.004863
30.312000,1441382553.782194
30.312000,1441382555.559512
30.312000,1441382557.336893
30.312000,1441382559.114323
30.312000,1441382560.901351
30.375000,1441382562.678679
30.375000,1441382564.456047
30.312000,1441382566.233305
30.375000,1441382568.011595
30.375000,1441382569.788087
30.375000,1441382571.565407
30.375000,1441382573.342732
30.375000,1441382575.120198
30.375000,1441382576.897427
30.375000,1441382578.674766
30.375000,1441382580.452139
30.375000,1441382582.230149
30.437000,1441382584.006801
30.437000,1441382585.784170
30.437000,1441382587.561471
30.375000,1441382589.338839
30.375000,1441382591.116184
30.312000,1441382592.895487
30.312000,1441382594.672831
30.312000,1441382596.450199
30.250000,1441382598.227525
30.250000,1441382600.004828
30.250000,1441382601.782215
30.187000,1441382603.559547
30.187000,1441382605.336904
30.187000,1441382607.114248
30.125000,1441382608.891580
30.125000,1441382610.668898
30.062000,1441382612.446275
30.062000,1441382614.223604
30.062000,1441382616.000959
30.125000,1441382617.778297
30.125000,1441382619.555634
30.125000,1441382621.337064
30.187000,1441382623.114240
30.187000,1441382624.896115
30.250000,1441382626.674796
30.250000,1441382628.452265
30.250000,1441382630.231527
30.187000,1441382632.008737
30.187000,1441382633.786113
30.187000,1441382635.563429
30.125000,1441382637.340796
30.125000,1441382639.122053
30.125000,1441382640.899381
30.125000,1441382642.676693
30.125000,1441382644.454082
30.187000,1441382646.231411
30.125000,1441382648.008768
30.125000,1441382649.786207
30.125000,1441382651.564314
30.187000,1441382653.340784
30.187000,1441382655.118331
30.125000,1441382656.899359
30.125000,1441382658.676701
30.125000,1441382660.454077
30.125000,1441382662.231508
30.125000,1441382664.008751
30.062000,1441382665.786091
30.062000,1441382667.563449
30.062000,1441382669.340771
30.000000,1441382671.118139
30.062000,1441382672.895453
30.062000,1441382674.672877
30.000000,1441382676.450141
30.000000,1441382678.227476
30.000000,1441382680.004829
30.000000,1441382681.783575
29.937000,1441382683.563465
30.000000,1441382685.342751
29.937000,1441382687.122056
29.937000,1441382688.899360
29.937000,1441382690.676771
29.937000,1441382692.454086
29.875000,1441382694.231403
29.875000,1441382696.009423
29.875000,1441382697.786107
29.875000,1441382699.563433
29.812000,1441382701.340803
29.812000,1441382703.118131
29.812000,1441382704.900305
29.812000,1441382706.678682
29.750000,1441382708.456024
29.750000,1441382710.239214
29.687000,1441382712.016578
29.687000,1441382713.793940
29.750000,1441382715.571292
29.750000,1441382717.348593
29.687000,1441382719.125937
29.687000,1441382720.909166
29.687000,1441382722.686490
29.687000,1441382724.463836
29.625000,1441382726.241148
