temperatura,data
27.875000,1441366431.918868
27.937000,1441366433.696266
28.062000,1441366435.473594
28.062000,1441366437.256776
28.187000,1441366439.034111
28.250000,1441366440.812434
28.312000,1441366442.588816
28.312000,1441366444.366169
28.375000,1441366446.143501
28.375000,1441366447.920824
28.375000,1441366449.698207
28.437000,1441366451.475560
28.500000,1441366453.252881
28.500000,1441366455.030329
28.562000,1441366456.809541
28.625000,1441366458.586857
28.750000,1441366460.364209
28.750000,1441366462.141568
28.812000,1441366463.918912
28.875000,1441366465.696272
28.875000,1441366467.476208
28.937000,1441366469.252907
29.000000,1441366471.030251
29.062000,1441366472.807574
29.125000,1441366474.584924
29.187000,1441366476.362955
29.250000,1441366478.141577
29.312000,1441366479.918910
29.375000,1441366481.696263
29.437000,1441366484.254851
29.562000,1441366486.032240
29.562000,1441366487.809518
29.625000,1441366489.586869
29.687000,1441366491.364213
29.750000,1441366493.141563
29.812000,1441366494.919179
29.937000,1441366496.696266
30.000000,1441366498.473591
30.000000,1441366500.250939
30.062000,1441366502.028254
30.062000,1441366503.805620
30.125000,1441366505.582981
30.187000,1441366507.363156
30.250000,1441366509.139603
30.312000,1441366510.916956
30.312000,1441366512.694270
30.375000,1441366514.471641
30.437000,1441366516.249090
30.437000,1441366518.026277
30.437000,1441366519.803646
30.437000,1441366521.581021
30.500000,1441366523.358335
30.562000,1441366525.135680
30.625000,1441366526.913069
30.687000,1441366528.690367
30.687000,1441366530.467736
30.750000,1441366532.245088
30.812000,1441366534.028270
30.937000,1441366535.807554
31.000000,1441366537.584925
31.125000,1441366539.364287
31.187000,1441366541.141539
31.250000,1441366542.918922
31.375000,1441366544.696266
31.437000,1441366546.473583
31.500000,1441366548.250855
31.562000,1441366550.038029
31.562000,1441366551.815385
31.625000,1441366553.592732
31.625000,1441366555.379853
31.687000,1441366557.157144
31.687000,1441366558.934547
31.750000,1441366560.711850
31.750000,1441366562.489221
31.812000,1441366564.266561
31.875000,1441366566.043887
31.937000,1441366567.821221
32.000000,1441366569.598602
32.125000,1441366571.375917
32.250000,1441366573.153261
32.312000,1441366574.930634
32.437000,1441366576.707962
32.562000,1441366578.485241
32.625000,1441366580.262643
32.750000,1441366582.039972
32.812000,1441366583.817339
32.875000,1441366585.594708
33.000000,1441366587.372034
33.125000,1441366589.150108
33.187000,1441366590.942347
33.250000,1441366592.721636
33.375000,1441366594.498973
33.437000,1441366596.276316
33.500000,1441366598.059501
33.562000,1441366599.836853
33.687000,1441366601.614225
33.750000,1441366603.391735
33.875000,1441366605.168882
34.000000,1441366606.946236
34.125000,1441366608.723595
34.187000,1441366610.502890
34.250000,1441366612.280247
34.312000,1441366614.823226
34.375000,1441366616.600537
34.437000,1441366618.378054
34.500000,1441366620.155220
34.625000,1441366621.932567
34.750000,1441366623.709940
34.937000,1441366625.487254
35.000000,1441366627.264589
35.125000,1441366629.041957
35.250000,1441366630.819306
35.375000,1441366632.596632
35.500000,1441366634.374578
35.562000,1441366636.151312
35.625000,1441366637.928674
35.687000,1441366639.705989
35.812000,1441366641.483368
35.937000,1441366643.260683
36.062000,1441366645.038037
36.125000,1441366646.815394
36.312000,1441366648.594674
36.375000,1441366650.372013
36.437000,1441366652.149357
36.500000,1441366653.930120
36.625000,1441366655.707960
36.750000,1441366657.485326
36.812000,1441366659.262675
36.875000,1441366661.040028
36.937000,1441366662.817346
37.062000,1441366664.594697
37.125000,1441366666.372056
37.250000,1441366668.149374
37.375000,1441366669.926813
37.375000,1441366671.704076
37.375000,1441366673.481403
37.375000,1441366675.258767
37.375000,1441366677.036105
37.375000,1441366678.813457
37.437000,1441366680.590792
37.625000,1441366682.368230
37.812000,1441366684.145440
38.000000,1441366685.922809
38.187000,1441366687.700186
38.312000,1441366689.477509
38.437000,1441366691.254848
38.625000,1441366693.032193
38.875000,1441366694.809541
39.125000,1441366696.586881
39.375000,1441366698.364233
39.625000,1441366700.143518
39.812000,1441366701.920844
40.000000,1441366703.698242
40.250000,1441366705.475648
40.375000,1441366707.252871
40.625000,1441366709.030215
40.812000,1441366710.807594
40.937000,1441366712.584937
41.125000,1441366714.362270
41.312000,1441366716.139611
41.375000,1441366717.916970
41.500000,1441366719.694408
41.625000,1441366721.471894
41.687000,1441366723.248987
41.812000,1441366725.026381
41.812000,1441366726.803687
41.812000,1441366728.581012
41.750000,1441366730.362267
41.750000,1441366732.139605
41.750000,1441366733.916946
41.687000,1441366735.694298
41.625000,1441366737.471634
41.562000,1441366739.249001
41.625000,1441366741.026354
41.687000,1441366742.803670
41.812000,1441366744.581008
41.875000,1441366746.358343
42.000000,1441366748.135686
42.062000,1441366749.913058
42.125000,1441366751.690466
42.125000,1441366753.467738
42.187000,1441366755.245092
42.187000,1441366757.022523
42.187000,1441366758.801726
42.187000,1441366760.579076
42.187000,1441366762.356426
42.187000,1441366764.135277
42.375000,1441366765.913299
42.500000,1441366767.690424
42.500000,1441366769.467753
42.500000,1441366771.245060
42.500000,1441366773.022457
42.500000,1441366774.799776
42.437000,1441366776.577125
42.437000,1441366778.354451
42.562000,1441366780.132358
42.625000,1441366781.909143
42.687000,1441366783.686497
42.750000,1441366785.463812
42.812000,1441366787.241188
42.812000,1441366789.018520
42.875000,1441366790.795862
42.937000,1441366792.577098
42.937000,1441366794.354468
42.875000,1441366796.131813
42.812000,1441366797.909138
42.812000,1441366799.688563
42.812000,1441366801.465790
42.812000,1441366803.245762
42.875000,1441366805.022434
42.937000,1441366806.799787
43.000000,1441366808.577097
42.937000,1441366810.354443
42.937000,1441366812.131788
42.875000,1441366813.909149
42.875000,1441366815.688609
42.875000,1441366817.465788
42.937000,1441366819.243114
43.000000,1441366821.020456
43.125000,1441366822.797820
43.187000,1441366824.575129
43.312000,1441366826.352508
43.437000,1441366828.129812
43.500000,1441366829.907173
43.500000,1441366831.684555
43.562000,1441366833.461861
43.625000,1441366835.239201
43.625000,1441366837.016549
43.562000,1441366838.793931
43.500000,1441366840.571270
43.437000,1441366842.348589
43.375000,1441366844.125896
43.375000,1441366845.903243
43.250000,1441366847.680649
43.250000,1441366849.457957
43.125000,1441366851.235320
43.062000,1441366853.012679
42.875000,1441366854.790002
42.750000,1441366856.568730
42.625000,1441366858.346647
42.437000,1441366860.126567
42.250000,1441366861.903294
42.187000,1441366863.680664
42.125000,1441366865.457959
42.125000,1441366867.235310
42.125000,1441366869.012666
42.250000,1441366870.790013
42.312000,1441366872.567310
42.437000,1441366874.344674
42.562000,1441366876.122008
42.625000,1441366877.899357
42.750000,1441366879.677720
42.812000,1441366881.457966
42.750000,1441366883.237239
42.687000,1441366885.014631
42.687000,1441366886.791963
42.687000,1441366888.569301
42.750000,1441366890.346673
42.875000,1441366892.124000
42.937000,1441366893.901333
43.062000,1441366895.678679
43.125000,1441366897.456001
43.125000,1441366899.233340
43.187000,1441366901.010729
43.125000,1441366902.788102
43.187000,1441366904.565583
43.062000,1441366906.342740
43.000000,1441366908.120068
42.937000,1441366909.897423
42.875000,1441366911.674775
42.875000,1441366913.458817
42.875000,1441366915.235310
42.812000,1441366917.012677
42.687000,1441366918.790010
42.625000,1441366920.567328
42.500000,1441366922.344704
42.437000,1441366924.122065
42.312000,1441366925.899378
42.125000,1441366927.677288
41.937000,1441366929.454049
41.812000,1441366931.231371
41.750000,1441366933.008752
41.750000,1441366934.786109
41.750000,1441366936.563433
41.750000,1441366938.340775
41.875000,1441366940.118958
41.937000,1441366941.895490
42.000000,1441366943.672831
42.000000,1441366945.450160
42.000000,1441366947.227484
41.937000,1441366949.004820
41.812000,1441366950.784354
41.750000,1441366952.561498
41.625000,1441366954.338845
41.625000,1441366956.116184
41.562000,1441366957.893513
41.437000,1441366959.670886
41.312000,1441366961.448224
41.125000,1441366963.225646
41.062000,1441366965.002917
40.937000,1441366966.780241
40.875000,1441366968.558109
40.750000,1441366970.334941
40.750000,1441366972.112276
40.750000,1441366973.889613
40.750000,1441366975.668896
40.812000,1441366977.446237
40.812000,1441366979.223773
40.812000,1441366981.007979
40.812000,1441366982.784136
40.750000,1441366984.564138
40.687000,1441366986.340786
40.625000,1441366988.118135
40.562000,1441366989.895474
40.437000,1441366991.672816
40.312000,1441366993.450140
40.250000,1441366995.227518
40.250000,1441366997.004865
40.250000,1441366998.782197
40.187000,1441367000.559534
40.312000,1441367002.336891
40.312000,1441367004.114445
40.312000,1441367005.891581
40.312000,1441367007.668919
40.375000,1441367009.446267
40.437000,1441367011.223607
40.375000,1441367013.002911
40.375000,1441367014.780232
40.437000,1441367016.557602
40.500000,1441367018.334945
40.500000,1441367020.112259
40.625000,1441367021.889622
40.687000,1441367023.666969
40.812000,1441367025.444294
40.937000,1441367027.221662
41.062000,1441367028.999149
41.187000,1441367030.776316
41.250000,1441367032.553666
41.312000,1441367034.331026
41.375000,1441367036.108370
41.500000,1441367037.888838
41.687000,1441367039.668920
41.812000,1441367041.448212
42.000000,1441367043.225554
42.125000,1441367045.002907
42.250000,1441367046.780222
42.375000,1441367048.557587
42.437000,1441367050.334948
42.437000,1441367052.112929
42.437000,1441367053.889628
42.375000,1441367055.666956
42.312000,1441367057.444306
42.375000,1441367059.221651
42.500000,1441367060.998997
42.625000,1441367062.778293
42.687000,1441367064.555627
42.812000,1441367066.336424
42.937000,1441367068.114219
43.000000,1441367069.891568
43.125000,1441367071.671671
43.250000,1441367073.448208
43.375000,1441367075.225531
43.437000,1441367077.002900
43.500000,1441367078.780203
43.562000,1441367080.557653
43.562000,1441367082.334938
43.625000,1441367084.112249
43.625000,1441367085.889610
43.562000,1441367087.666921
43.625000,1441367089.450133
43.625000,1441367091.227486
43.687000,1441367093.008741
43.750000,1441367094.786585
43.812000,1441367096.563440
43.875000,1441367098.340885
43.812000,1441367100.127862
43.750000,1441367101.905287
43.750000,1441367103.682575
43.687000,1441367105.465763
43.750000,1441367107.244615
43.812000,1441367109.024379
43.875000,1441367110.801721
43.875000,1441367112.579050
43.875000,1441367114.356413
43.937000,1441367116.139666
44.000000,1441367117.916935
44.062000,1441367119.694238
44.062000,1441367121.481410
44.000000,1441367123.258708
43.937000,1441367125.036115
43.937000,1441367126.813433
43.937000,1441367128.590775
43.875000,1441367130.368170
43.937000,1441367132.145460
44.000000,1441367133.923328
44.062000,1441367135.700159
44.062000,1441367137.483360
44.125000,1441367139.260700
44.187000,1441367141.038031
44.250000,1441367142.815388
44.250000,1441367144.592719
44.312000,1441367146.370086
44.312000,1441367148.147406
44.375000,1441367149.926707
44.375000,1441367151.704058
44.375000,1441367153.485311
44.375000,1441367155.262626
44.312000,1441367157.040571
44.312000,1441367158.817331
44.250000,1441367160.594686
44.187000,1441367162.372038
44.125000,1441367164.155189
44.000000,1441367165.932566
43.875000,1441367167.709899
43.625000,1441367169.497012
43.500000,1441367171.274370
43.437000,1441367173.051889
43.375000,1441367174.829057
43.375000,1441367176.607498
43.312000,1441367178.387656
43.250000,1441367180.170827
43.187000,1441367181.950145
43.062000,1441367183.728441
42.937000,1441367185.510689
42.750000,1441367187.288047
42.625000,1441367189.065368
42.437000,1441367190.849513
42.375000,1441367192.625907
42.312000,1441367194.403316
42.250000,1441367196.180594
42.250000,1441367197.957943
42.187000,1441367199.735303
42.125000,1441367201.518507
42.062000,1441367203.295849
41.937000,1441367205.075878
41.812000,1441367206.852510
41.687000,1441367208.629830
41.687000,1441367210.407188
41.687000,1441367212.184518
41.687000,1441367213.961830
41.687000,1441367215.742135
41.750000,1441367217.522415
41.750000,1441367219.299773
41.812000,1441367221.077109
41.750000,1441367222.854446
41.750000,1441367224.631803
41.687000,1441367226.409131
41.750000,1441367228.192332
41.812000,1441367229.969656
41.875000,1441367231.747160
41.875000,1441367233.524360
41.875000,1441367235.301716
41.937000,1441367237.079041
42.000000,1441367238.858358
42.062000,1441367240.635689
42.062000,1441367242.413042
42.062000,1441367244.194271
42.125000,1441367245.971610
42.187000,1441367247.749088
42.250000,1441367249.526322
42.312000,1441367251.303650
42.500000,1441367253.081011
42.625000,1441367254.858371
42.687000,1441367256.635712
42.812000,1441367258.413059
42.875000,1441367260.190367
43.000000,1441367261.967728
43.125000,1441367263.749830
43.125000,1441367265.526321
43.062000,1441367267.303658
42.937000,1441367269.080988
42.812000,1441367270.864209
42.750000,1441367272.641561
42.625000,1441367274.418910
42.500000,1441367276.202106
42.375000,1441367277.979416
42.312000,1441367279.756820
42.312000,1441367281.534162
42.312000,1441367283.311482
42.375000,1441367285.088796
42.437000,1441367286.873993
42.500000,1441367288.651317
42.500000,1441367290.428664
42.500000,1441367292.210478
42.500000,1441367293.987231
42.437000,1441367295.764603
42.250000,1441367297.542488
42.125000,1441367299.319275
42.000000,1441367301.096609
41.937000,1441367302.877910
42.000000,1441367304.655223
42.000000,1441367306.432836
41.937000,1441367308.212969
41.812000,1441367309.989171
41.750000,1441367311.766573
41.625000,1441367313.543904
41.562000,1441367315.321259
41.500000,1441367317.098600
41.375000,1441367318.879847
41.312000,1441367320.657179
41.250000,1441367322.434500
41.250000,1441367324.214819
41.250000,1441367325.993099
41.250000,1441367327.770473
41.312000,1441367329.551148
41.312000,1441367331.332949
41.250000,1441367333.110290
41.125000,1441367334.893538
41.000000,1441367336.670863
40.875000,1441367338.448224
40.687000,1441367340.225525
40.562000,1441367342.006801
40.437000,1441367343.786105
40.437000,1441367345.563436
40.375000,1441367347.340784
40.375000,1441367349.118141
40.375000,1441367350.895483
40.375000,1441367352.672803
40.375000,1441367354.450233
40.437000,1441367356.234054
40.375000,1441367358.010717
40.250000,1441367359.788053
40.187000,1441367361.565404
40.000000,1441367363.342735
39.937000,1441367365.120080
39.812000,1441367366.905233
39.750000,1441367368.682544
39.750000,1441367370.461888
39.687000,1441367372.239209
39.625000,1441367374.016541
39.625000,1441367375.793920
39.562000,1441367377.571801
39.500000,1441367379.348731
39.375000,1441367381.125928
39.312000,1441367382.903274
39.250000,1441367384.680644
39.125000,1441367386.458149
39.000000,1441367388.235310
38.937000,1441367390.012649
38.875000,1441367391.790014
38.750000,1441367393.567360
38.625000,1441367395.344689
38.562000,1441367397.122036
38.500000,1441367398.907193
38.437000,1441367400.688429
38.375000,1441367402.465803
38.312000,1441367404.243116
38.187000,1441367406.020426
38.125000,1441367407.797828
38.125000,1441367409.575143
38.125000,1441367411.352500
38.250000,1441367413.129843
38.312000,1441367414.907197
38.375000,1441367416.684551
38.375000,1441367418.461903
38.312000,1441367420.239219
38.312000,1441367422.016584
38.250000,1441367423.793932
38.250000,1441367425.571264
38.187000,1441367427.348802
38.187000,1441367429.125958
38.312000,1441367430.903303
38.375000,1441367432.686022
38.437000,1441367434.463866
38.625000,1441367436.241176
38.812000,1441367438.018539
39.000000,1441367439.795878
39.250000,1441367441.573178
39.375000,1441367443.350548
39.500000,1441367445.127897
39.500000,1441367446.905322
39.500000,1441367448.682571
39.500000,1441367450.459933
39.437000,1441367452.237258
39.437000,1441367454.014613
39.375000,1441367455.795362
39.312000,1441367457.573183
39.250000,1441367459.350553
39.250000,1441367461.127910
39.187000,1441367462.905241
39.187000,1441367464.682585
39.187000,1441367466.459972
39.250000,1441367468.237274
39.250000,1441367470.014873
39.187000,1441367471.791954
39.125000,1441367473.569308
38.937000,1441367475.346637
38.937000,1441367477.124248
38.875000,1441367478.901323
38.750000,1441367480.682659
38.687000,1441367482.459957
38.625000,1441367484.237239
38.500000,1441367486.014604
38.500000,1441367487.792546
38.562000,1441367489.570770
38.625000,1441367491.348591
38.562000,1441367493.125927
38.562000,1441367494.903274
38.625000,1441367496.680595
38.687000,1441367498.457999
38.750000,1441367500.235307
38.750000,1441367502.012657
38.812000,1441367503.790083
38.937000,1441367505.567376
38.937000,1441367507.344703
38.875000,1441367509.122049
38.875000,1441367510.899376
38.937000,1441367512.676705
38.937000,1441367514.454296
38.812000,1441367516.232367
38.750000,1441367518.008734
38.625000,1441367519.786107
38.625000,1441367521.563456
38.562000,1441367523.340777
38.562000,1441367525.118107
38.500000,1441367526.895489
38.437000,1441367528.672811
38.375000,1441367530.450145
38.312000,1441367532.233379
38.250000,1441367534.010691
38.187000,1441367535.788045
38.125000,1441367537.565597
38.000000,1441367539.342723
37.937000,1441367541.120076
37.812000,1441367542.897400
37.625000,1441367544.674753
37.500000,1441367546.452107
37.437000,1441367548.229407
37.312000,1441367550.008784
37.250000,1441367551.788080
37.187000,1441367553.565399
37.125000,1441367555.342753
37.062000,1441367557.125300
37.000000,1441367558.901340
36.937000,1441367560.679227
36.937000,1441367562.456065
36.875000,1441367564.233367
36.875000,1441367566.010723
36.937000,1441367567.788063
37.000000,1441367569.565394
37.000000,1441367571.342728
37.062000,1441367573.120897
37.125000,1441367574.903284
37.125000,1441367576.680870
37.250000,1441367578.457963
37.312000,1441367580.241167
37.437000,1441367582.018506
37.500000,1441367583.798501
37.562000,1441367585.575159
37.750000,1441367587.352481
37.937000,1441367589.129823
38.062000,1441367590.907723
38.125000,1441367592.686090
38.250000,1441367594.469722
38.375000,1441367596.247046
38.375000,1441367598.024379
38.312000,1441367599.801715
38.250000,1441367601.579076
38.312000,1441367603.359305
38.312000,1441367605.135672
38.312000,1441367606.918910
38.375000,1441367608.696249
38.375000,1441367610.473787
38.437000,1441367612.252880
38.500000,1441367614.030200
38.562000,1441367615.807579
38.625000,1441367617.584925
38.750000,1441367619.362264
38.812000,1441367621.141568
38.937000,1441367622.918898
39.062000,1441367624.696322
39.062000,1441367626.473608
39.125000,1441367628.254837
39.187000,1441367630.032156
39.250000,1441367631.809619
39.187000,1441367633.586855
39.187000,1441367635.364181
39.125000,1441367637.141583
39.062000,1441367638.918898
39.000000,1441367640.696237
38.875000,1441367642.473611
38.812000,1441367644.250917
38.687000,1441367646.028256
38.562000,1441367647.805634
38.437000,1441367649.582954
38.312000,1441367651.360296
38.250000,1441367653.137634
38.187000,1441367654.918894
38.125000,1441367656.696254
38.125000,1441367658.473581
38.125000,1441367660.256774
38.125000,1441367662.034131
38.125000,1441367663.811483
38.125000,1441367665.588851
38.125000,1441367667.366155
38.125000,1441367669.143522
38.125000,1441367670.920844
38.062000,1441367672.698228
38.062000,1441367674.475552
38.000000,1441367676.252855
38.000000,1441367678.030295
37.937000,1441367679.807576
38.000000,1441367681.585006
38.062000,1441367683.362257
38.125000,1441367685.139581
38.250000,1441367686.926709
38.250000,1441367688.704065
38.187000,1441367690.481396
38.250000,1441367692.262639
38.250000,1441367694.039976
38.312000,1441367695.817348
38.437000,1441367697.594682
38.562000,1441367699.372040
38.625000,1441367701.149369
38.812000,1441367702.926728
38.937000,1441367704.704059
39.062000,1441367706.481399
39.250000,1441367708.264592
39.437000,1441367710.045836
39.625000,1441367711.823214
39.812000,1441367713.600538
39.937000,1441367715.377953
40.000000,1441367717.155236
40.062000,1441367718.932569
40.187000,1441367720.709923
40.250000,1441367722.487277
40.250000,1441367724.264596
40.187000,1441367726.041935
40.187000,1441367727.819289
40.125000,1441367729.596629
40.062000,1441367731.374043
40.000000,1441367733.151310
39.875000,1441367734.936517
39.687000,1441367736.713828
39.625000,1441367738.491155
39.500000,1441367740.274351
39.437000,1441367742.051687
39.312000,1441367743.829059
39.187000,1441367745.606396
39.125000,1441367747.383729
39.000000,1441367749.161106
38.937000,1441367750.938427
